"Contributeur","Value","Factor20_abs"
"RPS6KA3",-1,1
"PICALM",-0.966841275264924,0.966841275264924
"CYBA",-0.87493530328902,0.87493530328902
"1-Mar",-0.872549712265672,0.872549712265672
"VPS51",-0.870868342078649,0.870868342078649
"EXOC6",-0.845060881322644,0.845060881322644
"SMNDC1",-0.817572737424333,0.817572737424333
"LINS1",-0.787017740410688,0.787017740410688
"CLNS1A",-0.785860528090052,0.785860528090052
"AC092329.1",-0.783387625133745,0.783387625133745
"PLXNA3",-0.765674467219722,0.765674467219722
"CBL",-0.763573427217231,0.763573427217231
"KIAA0513",-0.761532217358963,0.761532217358963
"ARHGAP4",-0.756280562039222,0.756280562039222
"ECHDC1",-0.745643105918478,0.745643105918478
"CXXC5",-0.727172881978542,0.727172881978542
"RPLP0",-0.726960413399387,0.726960413399387
"NPTN",-0.721525717915928,0.721525717915928
"SLC25A32",-0.71408084409398,0.71408084409398
"UBA3",-0.712432051277354,0.712432051277354
"CXorf57",-0.681560269394814,0.681560269394814
"TRAF5",-0.678455170790156,0.678455170790156
"ZNF518A",-0.677570028177994,0.677570028177994
"PWP1",-0.673049102169962,0.673049102169962
"BTG1",-0.671566345160274,0.671566345160274
"CASD1",-0.663616493470327,0.663616493470327
"MAPK1",-0.655759049295001,0.655759049295001
"JAZF1",-0.655142140391634,0.655142140391634
"DRAM2",-0.654927553424597,0.654927553424597
"FAM129C",-0.64124053481393,0.64124053481393
"USP45",-0.633923394055872,0.633923394055872
"HIGD1A",-0.621881675784513,0.621881675784513
"TMEM259",-0.615648405323406,0.615648405323406
"YWHAQ",-0.615158771454116,0.615158771454116
"MBNL3",-0.611852540508157,0.611852540508157
"BIRC3",-0.608805897958286,0.608805897958286
"GLO1",-0.607781113507116,0.607781113507116
"FAM172A",-0.601215656924678,0.601215656924678
"PTEN",-0.600621305989564,0.600621305989564
"RNF111",-0.600396585112932,0.600396585112932
"HSBP1",-0.593470315545898,0.593470315545898
"HCFC1",-0.59336319382356,0.59336319382356
"C3orf38",-0.592573264158618,0.592573264158618
"PDCD10",-0.590992603276562,0.590992603276562
"DOCK11",-0.588898032945168,0.588898032945168
"DCUN1D1",-0.587144122286631,0.587144122286631
"UFM1",-0.584172310357337,0.584172310357337
"CWC15",-0.583792832657892,0.583792832657892
"FAM69A",-0.580894420006009,0.580894420006009
"RACK1",-0.576401204801618,0.576401204801618
"CFLAR",-0.572750420929397,0.572750420929397
"CYTIP",-0.566246111326894,0.566246111326894
"TMEM140",-0.563569041581778,0.563569041581778
"NDUFA4",-0.562290050584813,0.562290050584813
"NPEPPS",-0.561865285187682,0.561865285187682
"UBE2K",-0.55981079246486,0.55981079246486
"JADE1",-0.557740841235874,0.557740841235874
"SLC30A6",-0.557340465926246,0.557340465926246
"BAZ2B",-0.554940332456359,0.554940332456359
"ZMYM2",-0.549240895741422,0.549240895741422
"STAP1",-0.54744415929544,0.54744415929544
"CAP1",-0.546110376482185,0.546110376482185
"AKAP1",-0.544738863463145,0.544738863463145
"UBE2L3",-0.542817199385874,0.542817199385874
"CD53",-0.540821849762557,0.540821849762557
"FERMT3",-0.539564786942852,0.539564786942852
"QKI",-0.533566314014247,0.533566314014247
"TNPO1",-0.532089625899571,0.532089625899571
"KLHL14",-0.530404992250136,0.530404992250136
"UBR3",-0.529198885247043,0.529198885247043
"ARPC5",-0.525069975504566,0.525069975504566
"TMEM184C",-0.524090192482448,0.524090192482448
"GSDMD",-0.518322738340393,0.518322738340393
"ISG20",-0.514524068092544,0.514524068092544
"RBM7",-0.51399704753983,0.51399704753983
