"Cell_Type","Count","Module"
"B lymphocytes",274,"purple"
"Monocytes",568,"purple"
"Neutrophiles",636,"purple"
"T lymphocytes",343,"purple"
"B lymphocytes",284,"darkgrey"
"Monocytes",2914,"darkgrey"
"Neutrophiles",2011,"darkgrey"
"T lymphocytes",3156,"darkgrey"
"B lymphocytes",2657,"darkturquoise"
"Monocytes",2326,"darkturquoise"
"Neutrophiles",2968,"darkturquoise"
"T lymphocytes",2671,"darkturquoise"
"B lymphocytes",163,"salmon"
"Monocytes",1894,"salmon"
"Neutrophiles",371,"salmon"
"T lymphocytes",1869,"salmon"
"B lymphocytes",3833,"orange"
"Monocytes",2406,"orange"
"Neutrophiles",2292,"orange"
"T lymphocytes",2576,"orange"
